oil,usd,gas
65.95,22802,21510
65.74,22793,21510
65.74,22793,21510
65.74,22705.5,21510
66.1,22815.5,21510
66.36,22813.5,21510
66.64,22812.5,21510
66.89,22813,21510
65.018,22816,21510
65.018,22816,21510
65.018,22816,21510
65.786,22836,21510
64.968,22853.5,21510
65.812,22867.5,21510
65.54,22877,21510
68.58,22892.5,21170
68.58,22892.5,21170
68.58,22875,21170
68.08,22897.5,21170
70.53,22921,21170
72.76,22937.5,21170
73.45,22937.5,21170
74.15,22958.5,21170
74.15,22958.5,21170
74.15,22958.5,21170
73.94,22954.5,21170
74.14,23046,21170
74.14,23039,21170
72.94,23041.5,21170
73.8,23036.5,21170
73.8,23036.5,21170
73.8,22942.7,21170
73.85,23039,21170
74.11,23039.5,21170
70.38,23044,21170
70.33,23048,21170
71.01,23051,21170
71.01,23051,21170
71.01,23045,21170
68.06,23050.5,21170
67.896,23051,21170
68.356,23049.5,21170
68.728,23052,21170
68.7,23054,21170
68.7,23054,21170
68.7,22896.7,21170
67.89,23225,21170
68.52,23251,21170
69.3,23217.5,21170
69.61,23180,21170
68.69,23232.5,21170
68.69,23232.5,21170
68.69,23232.5,21170
70.13,23257.5,21170
68.76,23283,21170
67.66,23291.5,21170
68.96,23282.5,21170
68.49,23306,21170
68.49,23306,21170
68.49,23306,21170
69.01,23307.5,21170
69.17,23303,21170
66.94,23284,21170
66.81,23277.5,21170
67.63,23277,21170
67.63,23277,21170
67.63,23277,21170
67.2,23315,21170
67.04,23315,21170
65.01,23312.5,21170
65.344,23313,21170
65.63,23294,21170
65.63,23294,21170
65.63,23294,21170
65.824,23273,21170
66.142,23269,21170
67.86,23275,21170
67.83,23282,21170
68.72,23302.5,21170
68.72,23302.5,21170
68.72,23216.5,21170
68.87,23294,21170
68.53,23296.5,21170
69.51,23301,21170
70.25,23303,21170
69.8,23304,21170
69.8,23304,21170
69.8,23314,21170
69.8,23304,21170
69.87,23313,21170
68.72,23314,21170
67.77,23314.5,21470
67.75,23303,21470
67.75,23303,21470
67.75,23326.5,21470
67.54,23303,21470
69.25,23285.5,21470
70.37,23281,21470
68.59,23277,21470
68.99,23248.5,21470
68.99,23248.5,21470
68.99,23248.5,21470
68.864,23291.5,21470
69.746,23281.5,21470
70.91,23307.5,21470
70.416,23322.5,21470
70.78,23333.5,21770
70.78,23333.5,21770
70.78,23318.8,21770
72.08,23338,21770
72.28,23345.5,21770
71.57,23348.5,21770
72.12,23347.5,21770
73.25,23327.5,21770
73.25,23327.5,21770
73.25,23327.5,21770
75.3,23331,21770
75.23,23327.5,21770
76.41,23342.5,21770
74.33,23350.5,21770
74.34,23331.5,21770
74.34,23331.5,22340
74.34,23257.2,22340
74.29,23352.5,22340
74.96,23356.5,22340
73.17,23351,22340
70.97,23346,22340
71.34,23345.5,22340
71.34,23345.5,22340
71.34,23345.5,22340
71.78,23332.5,22340
71.92,23339,22340
69.74,23343.5,22340
68.674,23347.5,22340
69.216,23351.5,22340
69.216,23351.5,22340
69.216,23346.8,22340
69.322,23348.5,22200
66.43,23348.5,22200
66.82,23349,22200
67.33,23350.5,22200
67.59,23356,22200
67.59,23356,22200
67.59,23249.4,22200
67.04,23345.5,22200
66.18,23344,22200
65.31,23345.5,22200
63.69,23346,22200
63.14,23331.5,22200
63.14,23331.5,22200
63.14,23342,22200
63.1,23312.5,22200
62.21,23326,21060
61.67,23326.5,21060
60.67,23319,21060
60.19,23295,21060
60.19,23295,21060
60.19,23295,21060
59.93,23302.5,21060
55.69,23309,21060
56.288,23317.5,21060
56.548,23309,21060
56.592,23307,21060
56.592,23307,21060
56.592,23121.6,21060
57.112,23311.5,21060
53.43,23337,21060
54.63,23353,19970
54.63,23347.5,19970
50.42,23362.5,19970
50.42,23362.5,19970
50.42,23374.1,19970
51.63,23341,19970
51.56,23347.5,19970
50.29,23336,19970
51.45,23328,19970
50.93,23317.5,19970
50.93,23317.5,19970
50.93,23428.3,19970
52.95,23301,19970
53.25,23284,19970
52.89,23307.5,19970
51.49,23333,18450
52.61,23312.5,18450
52.61,23312.5,18450
52.61,23312.5,18450
51,23306,18450
51.65,23302,18450
